Course Code - Course Name,Location,Session Type
ME444 - Advanced Mechanical Machine Design,D-Lab 102,Lab
ME444 - Advanced Mechanical Machine Design,Science Lab,Lecture
ME445 - Machine Shop and Factory Design,Radichel MPR,Lab
ME445 - Machine Shop and Factory Design,Bio Lab,Lecture
ME445 - Machine Shop and Factory Design,Norton-Motulsky 207B,Lecture
POLS322 - China-Africa Relations,Jackson Lab 221,Lecture
POLS322 - China-Africa Relations,Norton-Motulsky 207A,Discussion
POLS334 - Introduction to Public Policy,Jackson Hall 115,Lecture
POLS334 - Introduction to Public Policy,Jackson Hall 115,Discussion
POLS221 - African Philosophical Thought,Nutor Hall 100,Lecture
POLS221 - African Philosophical Thought,Nutor Hall 115,Discussion
POLS234 - Comparative Politics,Jackson Lab 222,Lecture
POLS234 - Comparative Politics,Apt Hall 216,Discussion
POLS237 - African Trade and Regional Integration,Apt Hall 216,Lecture
POLS237 - African Trade and Regional Integration,Apt Hall 217,Discussion
POLS332 - Governance in Africa,Nutor Hall 100,Lecture
POLS332 - Governance in Africa,Fab Lab 303,Discussion
SC113 - Physics: Electromagnetism,Science Lab,Lab
SC113 - Physics: Electromagnetism,Science Lab,Lecture
SC221 - Materials Science & Chemistry,Science Lab,Lecture
SC221 - Materials Science & Chemistry,Science Lab,Lab
SOAN322 - African Cultural Institutions,Jackson Hall 116,Lecture
SOAN322 - African Cultural Institutions,Jackson Lab 222,Discussion
SOAN322 - African Cultural Institutions,Apt Hall 217,Lecture
SOAN322 - African Cultural Institutions,Jackson Hall 115,Discussion
SOAN111 - Leadership Seminar I: What Makes a Good Leader?,Nutor Hall 115,Discussion
SOAN111 - Leadership Seminar I: What Makes a Good Leader?,Norton-Motulsky 207A,Lecture
SOAN111 - Leadership Seminar I: What Makes a Good Leader?,Norton-Motulsky 207A,Discussion
SOAN111 - Leadership Seminar I: What Makes a Good Leader?,Fab Lab 303,Discussion
SOAN111 - Leadership Seminar I: What Makes a Good Leader?,Jackson Lab 222,Lecture
SOAN111 - Leadership Seminar I: What Makes a Good Leader?,Jackson Lab 221,Discussion
SOAN111 - Leadership Seminar I: What Makes a Good Leader?,Nutor Hall 100,Discussion
SOAN111 - Leadership Seminar I: What Makes a Good Leader?,Jackson Lab 221,Lecture
SOAN111 - Leadership Seminar I: What Makes a Good Leader?,Norton-Motulsky 207A,Seminar
SOAN111 - Leadership Seminar I: What Makes a Good Leader?,Jackson Lab 222,Seminar
SOAN111 - Leadership Seminar I: What Makes a Good Leader?,D-Lab 102,Seminar
SOAN111 - Leadership Seminar I: What Makes a Good Leader?,Nutor Hall 115,Seminar
SOAN211 - Leadership Seminar II: Rights, Ethics and Rule of Law",Nutor Hall 115,Seminar
SOAN211 - Leadership Seminar II: Rights, Ethics and Rule of Law",Apt Hall 216,Discussion
SOAN211 - Leadership Seminar II: Rights, Ethics and Rule of Law",Nutor Hall 100,Seminar
SOAN211 - Leadership Seminar II: Rights, Ethics and Rule of Law",Jackson Hall 115,Discussion
SOAN211 - Leadership Seminar II: Rights, Ethics and Rule of Law",D-Lab 102,Discussion
SOAN211 - Leadership Seminar II: Rights, Ethics and Rule of Law",Jackson Lab 222,Discussion
SOAN211 - Leadership Seminar II: Rights, Ethics and Rule of Law",Apt Hall 216,Seminar
SOAN211 - Leadership Seminar II: Rights, Ethics and Rule of Law",Nutor Hall 100,Discussion
SOAN211 - Leadership Seminar II: Rights, Ethics and Rule of Law",Apt Hall 217,Seminar
SOAN211 - Leadership Seminar II: Rights, Ethics and Rule of Law",Radichel MPR,Discussion
SOAN211 - Leadership Seminar II: Rights, Ethics and Rule of Law",Jackson Lab 222,Seminar
SOAN211 - Leadership Seminar II: Rights, Ethics and Rule of Law",Nutor Hall 216,Seminar
SOAN211 - Leadership Seminar II: Rights, Ethics and Rule of Law",Nutor Hall 216,Discussion
SOAN211 - Leadership Seminar II: Rights, Ethics and Rule of Law",Norton-Motulsky 207A,Seminar
SOAN211 - Leadership Seminar II: Rights, Ethics and Rule of Law",Apt Hall 217,Discussion
SOAN211 - Leadership Seminar II: Rights, Ethics and Rule of Law",Science Lab,Seminar
SOAN211 - Leadership Seminar II: Rights, Ethics and Rule of Law",Fab Lab 203,Seminar
SOAN211 - Leadership Seminar II: Rights, Ethics and Rule of Law",Databank Foundation Hall 218,Discussion
SOAN211 - Leadership Seminar II: Rights, Ethics and Rule of Law",Nutor Hall 115,Discussion
SOAN211 - Leadership Seminar II: Rights, Ethics and Rule of Law",Jackson Hall 115,Seminar
SOAN211 - Leadership Seminar II: Rights, Ethics and Rule of Law",Jackson Lab 221,Seminar
SOAN225 - Ghanaian Popular Culture,Jackson Lab 221,Lecture
SOAN225 - Ghanaian Popular Culture,Jackson Hall 116,Discussion
SOAN225 - Ghanaian Popular Culture,EE lab,Lecture
SOAN227 - Religion in Africa,Jackson Hall 116,Lecture
SOAN227 - Religion in Africa,Apt Hall 216,Discussion
SOAN234 - African Music and the Contemporary Art Music Scene,Norton-Motulsky 207A,Lecture
SOAN234 - African Music and the Contemporary Art Music Scene,D-Lab 102,Discussion
SOAN236 - ESG: Corporate Ethics in Africa,EE lab,Lecture
SOAN236 - ESG: Corporate Ethics in Africa,Apt Hall 216,Discussion
SOAN237 - Crafting Cultures: Exploring African Cultures Through Ceramics and Pottery,Nutor Hall 216,Lecture
SOAN237 - Crafting Cultures: Exploring African Cultures Through Ceramics and Pottery,Databank Foundation Hall 218,Discussion
SOAN238 - Introduction to Sociocultural Anthropology,Jackson Lab 222,Lecture
SOAN238 - Introduction to Sociocultural Anthropology,Jackson Lab 222,Discussion
SOAN239 - African & Diasporan Choir,Fab Lab 203,Lecture
SOAN239 - African & Diasporan Choir,Fab Lab 303,Discussion
SOAN240 - Neo-Traditional African Dance Forms,D-Lab 102,Lecture
SOAN240 - Neo-Traditional African Dance Forms,D-Lab 102,Discussion
SOAN251 - Africa in the International Setting,D-Lab 102,Lecture
SOAN251 - Africa in the International Setting,D-Lab 102,Discussion
SOAN301 - Introduction to Africana Studies: The Global Black Experience,Apt Hall 217,Lecture
SOAN301 - Introduction to Africana Studies: The Global Black Experience,Jackson Lab 221,Discussion
SOAN301 - Introduction to Africana Studies: The Global Black Experience,Databank Foundation Hall 218,Lecture
SOAN301 - Introduction to Africana Studies: The Global Black Experience,Apt Hall 216,Discussion
SOAN311 - Leadership Seminar III: The Economic Organization of a Good Society,Jackson Lab 221,Seminar
SOAN311 - Leadership Seminar III: The Economic Organization of a Good Society,Jackson Hall 116,Seminar
SOAN311 - Leadership Seminar III: The Economic Organization of a Good Society,Nutor Hall 216,Seminar
SOAN311 - Leadership Seminar III: The Economic Organization of a Good Society,Jackson Lab 222,Seminar
SOAN311 - Leadership Seminar III: The Economic Organization of a Good Society,Fab Lab 303,Seminar
SOAN311 - Leadership Seminar III: The Economic Organization of a Good Society,Nutor Hall 100,Seminar
SOAN311 - Leadership Seminar III: The Economic Organization of a Good Society,Radichel MPR,Discussion
SOAN311 - Leadership Seminar III: The Economic Organization of a Good Society,Nutor Hall 115,Seminar
SOAN311 - Leadership Seminar III: The Economic Organization of a Good Society,Norton-Motulsky 207B,Seminar
SOAN311 - Leadership Seminar III: The Economic Organization of a Good Society,Jackson Lab 221,Discussion
SOAN320 - World Hunger, Population and Food Supplies",Bio Lab,Lecture
SOAN320 - World Hunger, Population and Food Supplies",Science Lab,Discussion
SOAN325 - Research Methods,Jackson Lab 222,Discussion
SOAN325 - Research Methods,Nutor Hall 100,Lecture
SOAN325 - Research Methods,Nutor Hall 115,Lecture
SOAN325 - Research Methods,Jackson Hall 116,Discussion
SOAN328 - Creative and Research Internship,Jackson Hall 116,Lecture
SOAN328 - Creative and Research Internship,Apt Hall 217,Lecture
SOAN328 - Creative and Research Internship,Apt Hall 216,Discussion
SOAN331 - Climate Change and Global Innovation,Nutor Hall 115,Lecture
SOAN331 - Climate Change and Global Innovation,Jackson Lab 221,Discussion
SOAN331 - Climate Change and Global Innovation,Bio Lab,Lecture
SOAN331 - Climate Change and Global Innovation,EE lab,Discussion
SOAN332 - Sustainability and Systems Thinking,Bio Lab,Lecture
SOAN332 - Sustainability and Systems Thinking,Science Lab,Discussion
SOAN411 - Leadership Seminar IV: Leadership as Service,Norton-Motulsky 207A,Seminar
SOAN411 - Leadership Seminar IV: Leadership as Service,Jackson Lab 222,Seminar
SOAN411 - Leadership Seminar IV: Leadership as Service,Nutor Hall 115,Seminar
SOAN411 - Leadership Seminar IV: Leadership as Service,Norton-Motulsky 207B,Seminar
SOAN411 - Leadership Seminar IV: Leadership as Service,Jackson Hall 116,Seminar
SOAN411 - Leadership Seminar IV: Leadership as Service,Fab Lab 203,Seminar
SOAN411 - Leadership Seminar IV: Leadership as Service,Nutor Hall 100,Seminar
SOAN411 - Leadership Seminar IV: Leadership as Service,Jackson Hall 115,Seminar
SOAN411 - Leadership Seminar IV: Leadership as Service,Apt Hall 217,Seminar
SOAN411- Leadership Seminar IV for Engineers: Leadership as Service,Apt Hall 217,Seminar
